setting_id,dataset,model,epsilon,rank,C,steps,raw_records,steps_contiguous,local_utility,paper_utility,paper_source,paper_avg_derived_from_rounded_tasks,difference_pp,clip_min,clip_max,clip_q25_all_steps,clip_q50_all_steps,clip_q75_all_steps,campaign_id,relative_run_root
glue8-4b-eps6-r8,glue8,google/gemma-3-4b-pt,6,8,1,500,500,true,0.7662401098508378,0.744,Table4,false,2.2240109850837797,0.3235294117647059,1.0,0.4444444444444444,0.5,0.5488402678144428,paper-coverage-8495ac8f0c07-baseline-reproduction-cached-v2,runs/glue8-4b-eps6-r8/fixed-c1-paper-default/seed-42
glue8-4b-eps6-r16,glue8,google/gemma-3-4b-pt,6,16,1,500,500,true,0.7688772200644788,0.740,Table4,false,2.8877220064478792,0.27586206896551724,1.0,0.4633017163504969,0.5096189419163892,0.5689655172413793,paper-coverage-8495ac8f0c07-baseline-reproduction-cached-v2,runs/glue8-4b-eps6-r16/fixed-c1-paper-default/seed-42
glue8-4b-eps6-r32,glue8,google/gemma-3-4b-pt,6,32,1,500,500,true,0.7526224703930844,0.740,Table4,false,1.2622470393084395,0.31343283582089554,1.0,0.4909090909090909,0.5410800385728062,0.6068788171006108,paper-coverage-b53ed134fa42-baseline-gap-fill-all-cached-v2,runs/glue8-4b-eps6-r32/fixed-c1-paper-default/seed-42
glue8-4b-eps3-r16,glue8,google/gemma-3-4b-pt,3,16,1,500,500,true,0.7619971405452176,0.7345,Table2,true,2.749714054521757,0.3275862068965517,1.0,0.4741902834008097,0.5250069463739928,0.5797101449275363,paper-coverage-8495ac8f0c07-baseline-reproduction-cached-v2,runs/glue8-4b-eps3-r16/fixed-c1-paper-default/seed-42
math10k-4b-eps6-r8,math10k,google/gemma-3-4b-pt,6,8,1,300,300,true,0.5590530109365148,0.565,Table4,false,-0.594698906348512,1.0,1.0,1.0,1.0,1.0,paper-coverage-8495ac8f0c07-baseline-reproduction-cached-v2,runs/math10k-4b-eps6-r8/fixed-c1-paper-default/seed-42
math10k-4b-eps6-r16,math10k,google/gemma-3-4b-pt,6,16,1,300,300,true,0.5717187874218417,0.590,Table3,false,-1.828121257815829,1.0,1.0,1.0,1.0,1.0,paper-coverage-8495ac8f0c07-baseline-reproduction-cached-v2,runs/math10k-4b-eps6-r16/fixed-c1-paper-default/seed-42
math10k-4b-eps6-r32,math10k,google/gemma-3-4b-pt,6,32,1,300,300,true,0.5589432464090207,0.566,Table4,false,-0.7056753590979237,0.9594594594594594,1.0,1.0,1.0,1.0,paper-coverage-df81587d8bc5-baseline-gap-fill-math-only-cached-v2,runs/math10k-4b-eps6-r32/fixed-c1-paper-default/seed-42
math10k-4b-eps3-r16,math10k,google/gemma-3-4b-pt,3,16,1,300,300,true,0.5736229300803796,0.57075,Table2,true,0.28729300803795876,1.0,1.0,1.0,1.0,1.0,paper-coverage-8495ac8f0c07-baseline-reproduction-cached-v2,runs/math10k-4b-eps3-r16/fixed-c1-paper-default/seed-42
math10k-9b-eps6-r16,math10k,google/gemma-2-9b,6,16,1,300,300,true,0.6971686912221087,0.7019,Table3,false,-0.47313087778912966,1.0,1.0,1.0,1.0,1.0,paper-coverage-8495ac8f0c07-baseline-reproduction-cached-v2,runs/math10k-9b-eps6-r16/fixed-c1-paper-default/seed-42
math10k-12b-eps6-r16,math10k,google/gemma-3-12b-pt,6,16,1,300,300,true,0.7104305696053592,0.6966,Table3,false,1.3830569605359222,1.0,1.0,1.0,1.0,1.0,paper-coverage-df81587d8bc5-baseline-gap-fill-math-only-cached-v2,runs/math10k-12b-eps6-r16/fixed-c1-paper-default/seed-42
